area_fips,year,annual_avg_emplvl,avg_annual_pay
13197,1990,1409,13138
13199,1990,5853,17580
13201,1990,1233,14346
13205,1990,5979,14211
13207,1990,5534,17413
13209,1990,1630,14712
13211,1990,4627,17021
13213,1990,8886,18845
13215,1990,75331,19276
13217,1990,11328,18791
13219,1990,2816,17007
13221,1990,1385,15816
13223,1990,5440,16854
13225,1990,7518,18739
13227,1990,3922,17137
13229,1990,2638,13713
13231,1990,1274,14856
13233,1990,9209,17106
13235,1990,2393,14638
13237,1990,4283,18428
13239,1990,166,15666
13241,1990,4223,14632
13243,1990,2384,13847
13245,1990,99893,20863
13247,1990,20284,20787
13249,1990,997,16742
13251,1990,4030,16510
13253,1990,2229,14478
13255,1990,18862,17244
13257,1990,10313,17059
13259,1990,1059,14177
13261,1990,12206,17261
13263,1990,777,15835
13265,1990,229,12965
13267,1990,5464,15017
13269,1990,1585,17477
13271,1990,4481,14747
13273,1990,2930,13742
13275,1990,17128,17170
13277,1990,16895,17421
13279,1990,8929,15458
13281,1990,1666,13779
13283,1990,1323,11799
13285,1990,27462,19549
13287,1990,1987,13479
13289,1990,1993,25812
13291,1990,3081,14575
13293,1990,9651,16294
13295,1990,14797,17807
13297,1990,8915,17034
13299,1990,13694,16211
13301,1990,1619,14317
13303,1990,7622,20119
13305,1990,7796,19598
13307,1990,366,17100
13309,1990,954,14051
13311,1990,3902,15001
13313,1990,48629,19902
13315,1990,1339,12785
13317,1990,3776,15942
13319,1990,3355,24907
13321,1990,3257,14510
15001,1990,48675,19898
15003,1990,407229,24028
15007,1990,24852,19715
15009,1990,51072,21116
16001,1990,104074,21515
16003,1990,899,17885
16005,1990,21630,18071
16007,1990,1115,12891
16009,1990,2754,19107
16011,1990,11538,19269
16013,1990,7745,17718
16015,1990,892,14251
16017,1990,16610,7953
16019,1990,29071,20524
16021,1990,2535,16197
16023,1990,14277,15451
16025,1990,196,13769
16027,1990,32099,16475
16029,1990,2559,24373
16031,1990,6772,17188
16033,1990,307,15660
16035,1990,3098,18494
16037,1990,1601,22363
16039,1990,5101,14545
16041,1990,1748,13708
16043,1990,2311,16102
16045,1990,2564,16307
16047,1990,3291,14234
16049,1990,3863,16991
16051,1990,3643,14293
16053,1990,4089,15150
16055,1990,24582,17637
16057,1990,11118,16317
16059,1990,1952,14756
16061,1990,1116,16322
16063,1990,916,16199
16065,1990,6947,16348
16067,1990,6453,17005
16069,1990,16613,20646
16071,1990,654,13540
16073,1990,1825,17106
16075,1990,4376,16011
16077,1990,3587,20417
16079,1990,4980,20442
16081,1990,687,11847
16083,1990,22298,17051
16085,1990,2718,16625
16087,1990,2422,12818
17001,1990,27658,18184
17003,1990,2247,16907
17005,1990,2843,15705
17007,1990,12018,27137
17009,1990,1165,15646
17011,1990,11123,17227
17013,1990,579,12346
17015,1990,4438,15082
17017,1990,4441,17180
17019,1990,78615,20389
17021,1990,10118,19440
17023,1990,3691,15246
17025,1990,4676,16109
17027,1990,8812,16978
17029,1990,21418,19888
17031,1990,2586542,27738
17033,1990,5723,20938
17035,1990,1420,14455
17037,1990,28541,19445
17039,1990,5953,24043
17041,1990,5963,21170
17043,1990,414528,26878
17045,1990,4595,16733
17047,1990,2727,18128
17049,1990,16312,17778
17051,1990,4692,15047
17053,1990,4417,17100
17055,1990,8928,20464
17057,1990,9708,14472
17059,1990,2180,22281
17061,1990,2939,15870
17063,1990,12282,26424
17065,1990,1452,14075
17067,1990,4653,15436
17069,1990,1015,15490
17071,1990,843,11223
17073,1990,14934,15748
17075,1990,7772,14906
17077,1990,22640,18259
17079,1990,3292,17080
17081,1990,15283,21565
17083,1990,3747,13616
17085,1990,6997,14956
17087,1990,1187,14886
17089,1990,139891,22908
17091,1990,35993,19812
17093,1990,7151,18614
17095,1990,21155,17825
17097,1990,216673,26783
17099,1990,36427,18504
17101,1990,4363,17297
17103,1990,12225,19078
17105,1990,12380,20658
17107,1990,10909,17672
17109,1990,12419,17130
17111,1990,61462,21460
17113,1990,61585,23237
17115,1990,51699,24150
17117,1990,11036,18701
17119,1990,85435,22304
17121,1990,15361,18239
17123,1990,3050,17741
17125,1990,3144,15203
17127,1990,3220,22050
17129,1990,1679,16859
17131,1990,2755,15009
17133,1990,4587,18955
17135,1990,8786,17223
17137,1990,14847,17938
17139,1990,2946,15166
17141,1990,14175,19159
17143,1990,92787,22307
17145,1990,6532,21787
17147,1990,3363,16701
17149,1990,3668,14327
17151,1990,594,15078
17153,1990,1556,19971
17155,1990,2430,26208
17157,1990,12471,19841
17159,1990,6367,15360
17161,1990,73517,25389
17163,1990,74270,19864
17165,1990,8343,20198
17167,1990,133389,23638
17169,1990,2331,20805
17171,1990,1644,22632
17173,1990,4602,15505
17175,1990,1328,18878
17177,1990,20316,21238
17179,1990,46999,27901
17181,1990,5267,16250
17183,1990,31853,20971
17185,1990,5571,21347
17187,1990,5898,15523
17189,1990,4232,15877
17191,1990,4041,15772
17193,1990,4311,16876
17195,1990,21012,19660
17197,1990,91248,23587
17199,1990,16959,18647
17201,1990,123573,22958
17203,1990,6323,17959
18001,1990,12061,18488
18003,1990,168030,22923
18005,1990,34356,23532
18007,1990,2378,16192
18009,1990,4511,18061
18011,1990,11165,17616
18013,1990,2413,12431
18015,1990,4290,16381
18017,1990,15267,18095
18019,1990,36458,18741
18021,1990,6034,18230
18023,1990,10199,17831
18025,1990,1476,13927
18027,1990,8821,16211
18029,1990,9547,20265
18031,1990,9171,19042
18033,1990,15835,20405
18035,1990,49805,20877
18037,1990,22266,19338
18039,1990,98581,20950
18041,1990,11413,23102
18043,1990,20272,18415
18045,1990,4423,16429
18047,1990,2908,16686
18049,1990,6525,17870
18051,1990,10158,18482
18053,1990,31711,23462
18055,1990,7454,16213
18057,1990,40707,22757
18059,1990,11403,19896
18061,1990,6592,15901
18063,1990,17472,19166
18065,1990,13106,19693
18067,1990,41991,28057
18069,1990,14369,17441
18071,1990,15999,18922
18073,1990,8078,18335
18075,1990,6988,17328
18077,1990,12070,19026
18079,1990,6089,16596
18081,1990,27783,16853
18083,1990,15078,17035
18085,1990,28134,22813
18087,1990,9469,17502
18089,1990,193594,23691
18091,1990,43233,19780
18093,1990,13457,20182
18095,1990,48253,24924
18097,1990,517348,24348
18099,1990,17251,17742
18101,1990,7465,27322
18103,1990,10014,17891
18105,1990,49379,19156
18107,1990,15940,20833
18109,1990,12626,17115
18111,1990,4101,16729
18113,1990,15558,18045
18115,1990,521,13545
18117,1990,6235,15725
18119,1990,2869,14201
18121,1990,3191,15054
18123,1990,5167,17063
18125,1990,3098,26563
18127,1990,45012,23292
18129,1990,7908,24556
18131,1990,4159,19546
18133,1990,9319,16570
18135,1990,8440,19106
18137,1990,10260,21285
18139,1990,4929,16470
18141,1990,112722,21065
18143,1990,5217,15809
18145,1990,14516,18524
18147,1990,5902,19362
18149,1990,4347,14448
18151,1990,13810,18136
18153,1990,4690,18333
18155,1990,1416,14309
